OTU;plaque_1_its_B1;plaque_1_its_B10;plaque_1_its_B11;plaque_1_its_B12;plaque_1_its_B13;plaque_1_its_B14;plaque_1_its_B15;plaque_1_its_B16;plaque_1_its_B17;plaque_1_its_B18;plaque_1_its_B19;plaque_1_its_B2;plaque_1_its_B20;plaque_1_its_B21;plaque_1_its_B22;plaque_1_its_B23;plaque_1_its_B24;plaque_1_its_B25;plaque_1_its_B26;plaque_1_its_B27;plaque_1_its_B28;plaque_1_its_B29;plaque_1_its_B3;plaque_1_its_B30;plaque_1_its_B31;plaque_1_its_B32;plaque_1_its_B33;plaque_1_its_B34;plaque_1_its_B35;plaque_1_its_B36;plaque_1_its_B37;plaque_1_its_B38;plaque_1_its_B39;plaque_1_its_B4;plaque_1_its_B40;plaque_1_its_B41;plaque_1_its_B42;plaque_1_its_B43;plaque_1_its_B44;plaque_1_its_B45;plaque_1_its_B46;plaque_1_its_B47;plaque_1_its_B48;plaque_1_its_B49;plaque_1_its_B5;plaque_1_its_B50;plaque_1_its_B51;plaque_1_its_B52;plaque_1_its_B53;plaque_1_its_B54;plaque_1_its_B55;plaque_1_its_B56;plaque_1_its_B57;plaque_1_its_B58;plaque_1_its_B59;plaque_1_its_B6;plaque_1_its_B60;plaque_1_its_B61;plaque_1_its_B62;plaque_1_its_B63;plaque_1_its_B64;plaque_1_its_B65;plaque_1_its_B66;plaque_1_its_B67;plaque_1_its_B68;plaque_1_its_B69;plaque_1_its_B7;plaque_1_its_B70;plaque_1_its_B71;plaque_1_its_B72;plaque_1_its_B73;plaque_1_its_B74;plaque_1_its_B75;plaque_1_its_B76;plaque_1_its_B77;plaque_1_its_B78;plaque_1_its_B79;plaque_1_its_B8;plaque_1_its_B80;plaque_1_its_B81;plaque_1_its_B82;plaque_1_its_B83;plaque_1_its_B84;plaque_1_its_B85;plaque_1_its_B86;plaque_1_its_B87;plaque_1_its_B88;plaque_1_its_B89;plaque_1_its_B9;plaque_1_its_B90;plaque_1_its_B91;plaque_1_its_B92;plaque_1_its_B93;plaque_1_its_B94
GU237761.1;0;1;2;36;14;11;0;1;6;23;2;6;16;33;4;1;27;21;13;17;9;1;3;5;3;15;12;33;4;1;3;11;3;1;17;5;7;5;2;29;12;4;7;5;1;5;0;6;16;5;7;12;15;1;25;70;15;13;8;5;0;4;12;4;2;2;16;2;0;1;18;8;18;13;8;10;9;2;3;1;3;12;3;3;3;33;28;4;33;0;2;5;7;28
MT040878.1;18;1;0;0;0;7;25;0;1;8;0;14;3;12;0;4;33;8;0;6;11;0;1;1;22;15;0;0;4;11;8;6;0;0;0;0;4;0;3;1;5;0;12;12;0;0;31;1;10;5;10;9;1;1;0;29;1;1;28;47;0;0;0;0;6;36;18;0;0;0;0;0;1;27;0;0;6;8;1;0;0;0;1;7;0;10;1;0;70;0;15;13;6;19
MT279905.1;21;0;6;0;0;1;19;0;3;1;0;4;0;0;4;2;2;2;0;5;8;4;1;4;19;3;0;1;4;0;1;4;0;0;0;1;0;4;2;1;2;2;4;8;1;2;20;7;2;1;3;5;2;1;1;18;3;0;6;24;0;5;3;0;19;42;2;76;0;1;0;0;0;51;7;1;7;0;0;17;1;1;6;37;1;29;1;17;46;99;19;16;3;13
KC992898.1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;1;0;0;1;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
MW063162.1;13;0;5;0;11;15;28;30;5;20;5;12;18;22;5;2;21;14;9;27;0;4;1;3;29;19;33;1;13;5;5;25;3;0;20;14;6;17;16;22;11;24;18;9;0;13;7;9;16;19;13;3;23;29;29;21;43;27;16;11;23;6;10;31;25;21;6;1;0;25;12;1;9;44;12;54;15;25;14;12;15;104;13;15;33;1;91;17;19;0;25;68;31;43
MW649126.1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;8;0;9;0;0;0;2;0;0;0;4;0;38;0;7;0;0;0;2;6;0;0;15;0;0;0;0;0;0;0;4;1;0;0;13;0;0;0;0;16;14;0;0
MZ668718.1;12;15;0;13;4;6;39;0;1;8;2;2;6;14;2;1;22;9;5;3;7;2;2;6;10;3;1;0;17;24;4;19;1;0;1;2;16;20;8;4;11;0;8;31;1;3;14;19;3;2;7;13;3;8;6;82;1;11;53;33;16;6;63;30;29;220;9;70;1;4;26;32;0;147;32;28;14;17;3;1;0;18;24;28;2;18;8;15;78;13;43;44;23;50
AY239209.1;22;0;10;1;0;2;1;0;0;4;0;42;2;13;9;7;2;0;0;8;8;6;0;2;1;0;0;0;1;4;0;2;0;16;2;0;0;3;1;1;0;0;1;0;0;3;2;2;0;0;3;0;16;14;2;1;1;0;9;4;2;4;0;0;0;6;0;7;0;0;0;23;0;16;0;0;9;7;0;11;0;0;0;6;0;0;4;0;0;0;3;5;6;0
MH863084.1;0;0;0;0;1;0;0;0;0;0;1;0;0;4;0;0;0;0;0;1;6;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;1;0;6;0;0;0;0;3;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;20;0;0;0;24;2;0;0;0
DQ323697.1;5;13;119;1;21;32;36;37;183;36;56;35;18;7;34;273;52;88;32;31;27;15;13;297;82;134;26;58;75;48;123;157;41;61;81;86;99;146;125;117;104;87;79;68;41;75;120;103;137;54;105;108;268;243;148;162;55;34;78;75;108;137;32;133;15;93;52;29;3;40;13;16;17;60;31;51;30;51;26;5;13;66;27;45;57;15;84;0;35;1;40;14;42;45
