otu,Domain,Phylum,Class,Order,Family,Genus,Species
MG137043.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Postiaceae,g__Cyanosporus,s__Cyanosporus_bifarius
MF434195.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Neocamarosporium,s__Neocamarosporium_salsolae
HQ168400.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Corticiales,f__Corticiaceae,g__Laetisaria,s__Laetisaria_lichenicola
GU237795.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Didymellaceae,g__Epicoccum,s__Epicoccum_draconis
MK119808.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Polyporaceae,g__Amauroderma,s__Amauroderma_subsessile
MH571702.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Russulales,f__Hericiaceae,g__Dentipellis,s__Dentipellis_tasmanica
LC333005.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Pisorisporiales,f__unidentified,g__Brocchiosphaera,s__Brocchiosphaera_bulbiformis
MN930536.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Marasmiaceae,g__Marasmius,s__Marasmius_nidus-avis
KC585279.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Fomitopsidaceae,g__Antrodia,s__Antrodia_heteromorpha
AY340012.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Hymenochaetales,f__Hymenochaetaceae,g__Phellinus,s__Phellinus_hartigii
KF381025.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Ustilaginales,f__Ustilaginaceae,g__Ustilago,s__Ustilago_nunavutica
KX081106.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Polyporaceae,g__Perenniporia,s__Perenniporia_fraxinea
FJ427003.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Didymellaceae,g__Didymella,s__Didymella_gardeniae
LC427008.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Irpicaceae,g__Ceriporia,s__Ceriporia_arbuscula
ON055870.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Polyporaceae,g__Ganoderma,s__Ganoderma_tropicum
KJ677120.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Hymenochaetales,f__Hymenochaetaceae,g__Fuscoporia,s__Fuscoporia_ferrea
KT389549.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Didymellaceae,g__Xenodidymella,s__Xenodidymella_asphodeli
MT177938.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Diaporthales,f__Gnomoniaceae,g__Apiognomonia,s__Apiognomonia_pseudohystrix
JF499850.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Mycosphaerellales,f__Teratosphaeriaceae,g__Xenophacidiella,s__Xenophacidiella_pseudocatenata
HQ888730.1,k__Eukaryota,p__Blastocladiomycota,c__Opisthokonta,o__Blastocladiales,f__Blastocladiaceae,g__Blastocladiella,s__Blastocladiella_britannica
